Nombre,Academia,Coordinador
Administración y Dirección  ,Administrativas,1@gmail.com
Administración y Dirección de Empresas Familiares,Administrativas,2@gmail.com
Administración y Finanzas,Administrativas,3@gmail.com
Administración y Mercadotecnia,Administrativas,4@gmail.com
Administración y Negocios Internacionales,Administrativas,5@gmail.com
Talent Management,Administrativas,6@gmail.com
Contaduría,Administrativas,7@gmail.com
Dirección de Negocios Gastronómicos,Administrativas,8@gmail.com
Hospitality Management,Administrativas,9@gmail.com
Ingeniería Civil y Administración,Ingenierías,10@gmail.com
Ingeniería en Animación Digital,Ingenierías,11@gmail.com
Ingeniería en Innovación y Diseño,Ingenierías,12@gmail.com
Ingeniería Industrial e Innovación de Negocios,Ingenierías,13@gmail.com
Ingeniería Mecatrónica,Ingenierías,14@gmail.com
Ingeniería en Sistemas y Gráficas Computacionales,Ingenierías,15@gmail.com
Arquitectura,Bellas Artes,16@gmail.com
Derecho,Humanidades y Ciencias Sociales,17@gmail.com
Pedagogía,Humanidades y Ciencias Sociales,18@gmail.com
Psicopedagogía,Humanidades y Ciencias Sociales,19@gmail.com
Comunicación y Creación Audiovisual,Humanidades y Ciencias Sociales,20@gmail.com
Comunicación Periodística,Humanidades y Ciencias Sociales,21@gmail.com
Comunicación Publicidad y Relaciones Públicas,Humanidades y Ciencias Sociales,22@gmail.com
Psicología,Ciencias de la Salud,23@gmail.com
